loc,site,prec,I30,sm,rc
DF2,DF2b,1.77,3.35,43,0
DF2,DF2b,0.34,0.46,43,0
DF2,DF2b,0.27,0.32,43,0
DF2,DF2b,2.47,0.55,42,0.42365881
DF2,DF2b,0.85,0.96,42,0
DF2,DF2b,0.73,0.59,42,0
DF2,DF2b,1.26,0.87,42,0
DF2,DF2b,0.82,0.69,42,0
DF2,DF2b,0.53,0.37,41,0
DF2,DF2b,0.41,0.32,41,0
DF2,DF2b,0.73,1.37,41,0
DF2,DF2b,3.14,2.77,40,0.753771879
DF2,DF2b,0.48,0.59,40,0
DF2,DF2b,7.39,3.68,40,0.915329612
DF2,DF2b,1.33,0.55,40,0
DF2,DF2b,1.83,1.78,40,0
DF2,DF2b,1.14,1.97,39,0
DF2,DF2b,0.55,0.73,39,0
DF2,DF2b,1.49,0.69,38,0
DF2,DF2b,1.01,0.79,38,0
DF2,DF2b,1.33,0.59,38,0
DF2,DF2b,3.36,1.23,38,0.221526583
DF2,DF2b,1.37,0.3,38,0
DF2,DF2b,3.06,3.16,38,0
DF2,DF2b,1.61,1.84,38,0
DF2,DF2b,0.89,0.55,38,0
DF2,DF2b,0.53,0.64,38,0
DF2,DF2b,0.5,0.09,38,0
DF2,DF2b,0.59,0.32,37,0
DF2,DF2b,0.98,1.27,37,0
DF2,DF2b,0.84,1.68,37,0
DF2,DF2b,0.43,0.37,37,0
DF2,DF2b,1.96,2.82,37,0
DF2,DF2b,0.37,0.14,37,0
DF2,DF2b,1.14,0.27,37,0
DF2,DF2b,0.48,0.14,37,0
DF2,DF2b,2.13,0.46,36,0
DF2,DF2b,1.05,0.09,36,0
DF2,DF2b,0.27,0.14,36,0
DF2,DF2b,1.17,0.23,36,0
DF2,DF2b,1.58,0.41,35,0
DF2,DF2b,1.65,1.42,35,0
DF2,DF2b,1.5,0.71,35,0
DF2,DF2b,0.25,0.5,35,0
DF2,DF2b,1.3,0.96,35,0
DF2,DF2b,2.55,2.72,34,0
DF2,DF2b,0.71,0.32,34,0
DF2,DF2b,0.27,0.09,34,0
DF2,DF2b,0.9,1.71,34,0
DF2,DF2b,0.49,0.79,34,0
DF2,DF2b,0.78,0.37,34,0
DF2,DF2b,1.9,0.69,34,0
DF2,DF2b,1.94,0.32,34,0
DF2,DF2b,0.62,1.14,33,0
DF2,DF2b,0.43,0.55,33,0
DF2,DF2b,0.41,0.37,33,0
DF2,DF2b,2.54,1.78,33,0.226930095
DF2,DF2b,3.79,0.59,33,0
DF2,DF2b,0.32,0.37,33,0
DF2,DF2b,0.3,0.41,33,0
DF2,DF2b,0.3,0.23,33,0
DF2,DF2b,0.59,0.18,32,0
DF2,DF2b,0.93,1.72,32,0
DF2,DF2b,0.46,0.78,32,0
DF2,DF2b,1.01,1.7,32,0
DF2,DF2b,1.72,2.81,32,0
DF2,DF2b,0.27,0.18,32,0
DF2,DF2b,0.5,0.18,32,0
DF2,DF2b,0.85,1.73,32,0
DF2,DF2b,0.64,0.18,32,0
DF2,DF2b,3.2,0.59,32,0
DF2,DF2b,0.82,1.49,31,0
DF2,DF2b,0.46,0.27,31,0
DF2,DF2b,0.69,0.37,31,0
DF2,DF2b,0.25,0.46,31,0
DF2,DF2b,0.73,0.5,31,0
DF2,DF2b,1.19,1.92,31,0
DF2,DF2b,0.5,0.27,31,0
DF2,DF2b,1.84,3.54,31,0
DF2,DF2b,0.57,0.78,31,0
DF2,DF2b,0.55,0.46,30,0
DF2,DF2b,0.46,0.84,30,0
DF2,DF2b,0.3,0.32,30,0
DF2,DF2b,0.59,0.5,30,0
DF2,DF2b,0.73,0.32,30,0
DF2,DF2b,0.94,0.55,30,0
DF2,DF2b,0.45,0.91,30,0
DF2,DF2b,2.01,0.64,30,0
DF2,DF2b,1.12,2.24,30,0
DF2,DF2b,1.7,1.63,30,0
DF2,DF2b,0.43,0.73,30,0
DF2,DF2b,0.6,1.12,30,0
DF2,DF2b,1,1.41,29,0
DF2,DF2b,1.77,2.67,29,0
DF2,DF2b,6.69,10.06,28,0.152983204
DF2,DF2b,0.73,0.55,28,0
DF2,DF2b,0.42,0.7,28,0
DF2,DF2b,0.75,0.9,28,0
DF2,DF2b,2.3,3.64,28,0
DF2,DF2b,0.34,0.18,28,0
DF2,DF2b,0.5,0.18,28,0
DF2,DF2b,0.32,0.27,27,0
DF2,DF2b,0.42,0.75,27,0
DF2,DF2b,1.97,0.78,27,0
DF2,DF2b,0.37,0.41,27,0
DF2,DF2b,0.48,0.27,27,0
DF2,DF2b,2.91,1.51,26,0
DF2,DF2b,0.48,0.23,26,0
DF2,DF2b,0.46,0.23,26,0
DF2,DF2b,2.16,1.35,25,0
DF2,DF2b,0.66,0.55,25,0
DF2,DF2b,0.48,0.23,25,0
DF2,DF2b,0.39,0.27,25,0
DF2,DF2b,0.59,0.73,24,0
DF2,DF2b,0.69,0.41,24,0
DF2,DF2b,1.14,1.26,24,0
DF2,DF2b,1.12,1.83,24,0
DF2,DF2b,0.25,0.27,24,0
DF2,DF2b,0.55,0.59,24,0
DF2,DF2b,0.41,0.55,24,0
DF2,DF2b,0.34,0.37,24,0
DF2,DF2b,1.51,0.46,23,0
DF2,DF2b,0.3,0.41,23,0
DF2,DF2b,1.4,1.54,23,0
DF2,DF2b,1.71,0.55,23,0
DF2,DF2b,0.43,0.36,23,0
DF2,DF2b,0.27,0.18,23,0
DF2,DF2b,0.91,1.14,23,0
DF2,DF2b,0.62,0.27,22,0
DF2,DF2b,1.97,1.47,22,0
DF2,DF2b,0.32,0.46,22,0
DF2,DF2b,0.43,0.32,22,0
DF2,DF2b,1.42,0.32,22,0
DF2,DF2b,0.71,0.65,22,0
DF2,DF2b,0.8,0.64,22,0
DF2,DF2b,0.96,0.41,22,0
DF2,DF2b,0.25,0.37,22,0
DF2,DF2b,0.27,0.55,21,0
DF2,DF2b,0.62,0.69,21,0
DF2,DF2b,4.75,5.44,21,0
DF2,DF2b,2.38,0.46,21,0
DF2,DF2b,1.55,0.82,21,0
DF2,DF2b,1.26,1.1,21,0
DF2,DF2b,2.36,3.39,21,0
DF2,DF2c,1.16,0.89,51,0.155783126
DF2,DF2c,0.25,0.37,48,0
DF2,DF2c,2.9,0.73,47,0.300429752
DF2,DF2c,4.37,3.46,45,0.436882106
DF2,DF2c,0.25,0.46,45,0
DF2,DF2c,0.32,0.41,45,0
DF2,DF2c,0.93,1.46,45,0.012081926
DF2,DF2c,2.74,2.2,44,0.373842569
DF2,DF2c,1.77,3.54,44,0.054795025
DF2,DF2c,0.37,0.23,44,0.206545455
DF2,DF2c,1.21,0.5,43,0.988951193
DF2,DF2c,1.1,1.51,43,0.032530758
DF2,DF2c,0.44,0.69,43,0
DF2,DF2c,1.77,3.35,43,0.011904251
DF2,DF2c,0.34,0.46,43,0
DF2,DF2c,2.47,0.55,42,0.338580961
DF2,DF2c,0.85,0.96,42,0
DF2,DF2c,0.73,0.59,42,0
DF2,DF2c,0.53,0.37,41,0
DF2,DF2c,0.73,1.37,41,0
DF2,DF2c,3.14,2.77,40,0.219882669
DF2,DF2c,0.48,0.59,40,0
DF2,DF2c,7.39,3.68,40,0.681936999
DF2,DF2c,1.33,0.55,40,0.1246167
DF2,DF2c,1.83,1.78,40,0.024641322
DF2,DF2c,1.14,1.97,39,0
DF2,DF2c,0.55,0.73,39,0.019592287
DF2,DF2c,1.49,0.69,38,0.033379275
DF2,DF2c,1.01,0.79,38,0
DF2,DF2c,1.33,0.59,38,0
DF2,DF2c,3.36,1.23,38,0.35627998
DF2,DF2c,1.37,0.3,38,0
DF2,DF2c,3.06,3.16,38,0.11766115
DF2,DF2c,1.61,1.84,38,0
DF2,DF2c,0.89,0.55,38,0
DF2,DF2c,0.53,0.64,38,0
DF2,DF2c,0.5,0.09,38,0
DF2,DF2c,0.59,0.32,37,0
DF2,DF2c,0.98,1.27,37,0
DF2,DF2c,0.84,1.68,37,0
DF2,DF2c,0.43,0.37,37,0
DF2,DF2c,1.96,2.82,37,0.036553419
DF2,DF2c,0.37,0.14,37,0
DF2,DF2c,1.14,0.27,37,0
DF2,DF2c,0.48,0.14,37,0
DF2,DF2c,2.13,0.46,36,0.111819426
DF2,DF2c,1.05,0.09,36,0
DF2,DF2c,0.27,0.14,36,0
DF2,DF2c,1.17,0.23,36,0
DF2,DF2c,1.58,0.41,35,0
DF2,DF2c,1.65,1.42,35,0
DF2,DF2c,1.5,0.71,35,0
DF2,DF2c,0.25,0.5,35,0
DF2,DF2c,1.3,0.96,35,0.034881253
DF2,DF2c,2.55,2.72,34,0.164793817
DF2,DF2c,0.71,0.32,34,0
DF2,DF2c,0.27,0.09,34,0
DF2,DF2c,0.9,1.71,34,0
DF2,DF2c,0.78,0.37,34,0
DF2,DF2c,1.9,0.69,34,0
DF2,DF2c,1.94,0.32,34,0
DF2,DF2c,0.62,1.14,33,0
DF2,DF2c,0.43,0.55,33,0
DF2,DF2c,2.54,1.78,33,0.013363166
DF2,DF2c,3.79,0.59,33,0
DF2,DF2c,0.32,0.37,33,0
DF2,DF2c,0.3,0.23,33,0
DF2,DF2c,0.59,0.18,32,0
DF2,DF2c,0.93,1.72,32,0
DF2,DF2c,1.72,2.81,32,0
DF2,DF2c,0.27,0.18,32,0
DF2,DF2c,0.5,0.18,32,0
DF2,DF2c,0.85,1.73,32,0
DF2,DF2c,3.2,0.59,32,0.082149705
DF2,DF2c,0.82,1.49,31,0
DF2,DF2c,0.46,0.27,31,0
DF2,DF2c,0.69,0.37,31,0
DF2,DF2c,0.25,0.46,31,0
DF2,DF2c,0.73,0.5,31,0
DF2,DF2c,1.19,1.92,31,0
DF2,DF2c,0.5,0.27,31,0
DF2,DF2c,1.84,3.54,31,0
DF2,DF2c,0.57,0.78,31,0
DF2,DF2c,0.55,0.46,30,0
DF2,DF2c,0.46,0.84,30,0
DF2,DF2c,0.3,0.32,30,0
DF2,DF2c,0.59,0.5,30,0
DF2,DF2c,0.73,0.32,30,0
DF2,DF2c,0.94,0.55,30,0
DF2,DF2c,0.45,0.91,30,0
DF2,DF2c,2.01,0.64,30,0
DF2,DF2c,1.12,2.24,30,0
DF2,DF2c,1.7,1.63,30,0
DF2,DF2c,0.43,0.73,30,0
DF2,DF2c,0.6,1.12,30,0
DF2,DF2c,1,1.41,29,0
DF2,DF2c,1.77,2.67,29,0
DF2,DF2c,6.69,10.06,28,0.146227961
DF2,DF2c,0.73,0.55,28,0
DF2,DF2c,2.3,3.64,28,0
DF2,DF2c,0.34,0.18,28,0
DF2,DF2c,0.5,0.18,28,0
DF2,DF2c,0.32,0.27,27,0
DF2,DF2c,1.97,0.78,27,0
DF2,DF2c,0.37,0.41,27,0
DF2,DF2c,0.48,0.27,27,0
DF2,DF2c,0.48,0.23,26,0
DF2,DF2c,0.46,0.23,26,0
DF2,DF2c,0.66,0.55,25,0
DF2,DF2c,0.48,0.23,25,0
DF2,DF2c,0.39,0.27,25,0
DF2,DF2c,0.59,0.73,24,0
DF2,DF2c,0.69,0.41,24,0
DF2,DF2c,0.25,0.27,24,0
DF2,DF2c,0.55,0.59,24,0
DF2,DF2c,0.34,0.37,24,0
DF2,DF2c,1.51,0.46,23,0
DF2,DF2c,0.3,0.41,23,0
DF2,DF2c,1.71,0.55,23,0
DF2,DF2c,0.91,1.14,23,0
DF2,DF2c,0.62,0.27,22,0
DF2,DF2c,1.97,1.47,22,0
DF2,DF2c,0.32,0.46,22,0
DF2,DF2c,0.43,0.32,22,0
DF2,DF2c,1.42,0.32,22,0
DF2,DF2c,0.8,0.64,22,0
DF2,DF2c,0.96,0.41,22,0
DF2,DF2c,0.25,0.37,22,0
DF2,DF2c,0.62,0.69,21,0
DF2,DF2c,4.75,5.44,21,0
DF2,DF2c,1.55,0.82,21,0
DF2,DF2c,1.26,1.1,21,0
DF2,DF2,1.16,0.89,51,0.138189237
DF2,DF2,0.25,0.37,48,0.012962685
DF2,DF2,2.9,0.73,47,0.22392803
DF2,DF2,4.37,3.46,45,0.472754856
DF2,DF2,0.25,0.46,45,0
DF2,DF2,0.32,0.41,45,0
DF2,DF2,0.93,1.46,45,0.004027309
DF2,DF2,2.74,2.2,44,0.330124794
DF2,DF2,1.77,3.54,44,0.018265008
DF2,DF2,0.37,0.23,44,0.117459596
DF2,DF2,0.51,0.98,44,0
DF2,DF2,1.21,0.5,43,0.563008334
DF2,DF2,1.1,1.51,43,0.010843586
DF2,DF2,0.44,0.69,43,0
DF2,DF2,1.77,3.35,43,0.003968084
DF2,DF2,0.34,0.46,43,0
DF2,DF2,0.27,0.32,43,0
DF2,DF2,2.47,0.55,42,0.375997129
DF2,DF2,0.85,0.96,42,0
DF2,DF2,0.73,0.59,42,0
DF2,DF2,1.26,0.87,42,0
DF2,DF2,0.82,0.69,42,0
DF2,DF2,0.53,0.37,41,0
DF2,DF2,0.41,0.32,41,0
DF2,DF2,0.73,1.37,41,0
DF2,DF2,3.14,2.77,40,0.436790665
DF2,DF2,0.48,0.59,40,0
DF2,DF2,7.39,3.68,40,0.807708869
DF2,DF2,1.33,0.55,40,0.071551671
DF2,DF2,1.83,1.78,40,0.008213774
DF2,DF2,1.14,1.97,39,0
DF2,DF2,0.55,0.73,39,0.006530762
DF2,DF2,1.49,0.69,38,0.011126425
DF2,DF2,1.01,0.79,38,0
DF2,DF2,1.33,0.59,38,0
DF2,DF2,3.36,1.23,38,0.268691883
DF2,DF2,1.37,0.3,38,0
DF2,DF2,3.06,3.16,38,0.085774126
DF2,DF2,1.61,1.84,38,0
DF2,DF2,0.89,0.55,38,0
DF2,DF2,0.53,0.64,38,0
DF2,DF2,0.5,0.09,38,0
DF2,DF2,0.59,0.32,37,0
DF2,DF2,0.98,1.27,37,0
DF2,DF2,0.84,1.68,37,0
DF2,DF2,0.43,0.37,37,0
DF2,DF2,1.96,2.82,37,0.012184473
DF2,DF2,0.37,0.14,37,0
DF2,DF2,1.14,0.27,37,0
DF2,DF2,0.48,0.14,37,0
DF2,DF2,2.13,0.46,36,0.04541257
DF2,DF2,1.05,0.09,36,0
DF2,DF2,0.27,0.14,36,0
DF2,DF2,1.17,0.23,36,0
DF2,DF2,1.58,0.41,35,0
DF2,DF2,1.65,1.42,35,0
DF2,DF2,1.5,0.71,35,0
DF2,DF2,0.25,0.5,35,0
DF2,DF2,1.3,0.96,35,0.024622536
DF2,DF2,2.55,2.72,34,0.067560053
DF2,DF2,0.71,0.32,34,0
DF2,DF2,0.27,0.09,34,0
DF2,DF2,0.9,1.71,34,0
DF2,DF2,0.49,0.79,34,0
DF2,DF2,0.78,0.37,34,0
DF2,DF2,1.9,0.69,34,0
DF2,DF2,1.94,0.32,34,0
DF2,DF2,0.62,1.14,33,0
DF2,DF2,0.43,0.55,33,0
DF2,DF2,0.41,0.37,33,0
DF2,DF2,2.54,1.78,33,0.08409932
DF2,DF2,3.79,0.59,33,0
DF2,DF2,0.32,0.37,33,0
DF2,DF2,0.3,0.41,33,0
DF2,DF2,0.3,0.23,33,0
DF2,DF2,0.59,0.18,32,0
DF2,DF2,0.93,1.72,32,0
DF2,DF2,0.46,0.78,32,0
DF2,DF2,1.01,1.7,32,0
DF2,DF2,1.72,2.81,32,0
DF2,DF2,0.27,0.18,32,0
DF2,DF2,0.5,0.18,32,0
DF2,DF2,0.85,1.73,32,0
DF2,DF2,0.64,0.18,32,0
DF2,DF2,3.2,0.59,32,0.042696725
DF2,DF2,0.82,1.49,31,0
DF2,DF2,0.46,0.27,31,0
DF2,DF2,0.69,0.37,31,0
DF2,DF2,0.25,0.46,31,0
DF2,DF2,0.73,0.5,31,0
DF2,DF2,1.19,1.92,31,0
DF2,DF2,0.5,0.27,31,0
DF2,DF2,1.84,3.54,31,0
DF2,DF2,0.57,0.78,31,0
DF2,DF2,0.55,0.46,30,0
DF2,DF2,0.46,0.84,30,0
DF2,DF2,0.3,0.32,30,0
DF2,DF2,0.59,0.5,30,0
DF2,DF2,0.73,0.32,30,0
DF2,DF2,0.94,0.55,30,0
DF2,DF2,0.45,0.91,30,0
DF2,DF2,2.01,0.64,30,0
DF2,DF2,1.12,2.24,30,0
DF2,DF2,1.7,1.63,30,0
DF2,DF2,0.43,0.73,30,0
DF2,DF2,0.6,1.12,30,0
DF2,DF2,1,1.41,29,0
DF2,DF2,1.77,2.67,29,0
DF2,DF2,6.69,10.06,28,0.16116959
DF2,DF2,0.73,0.55,28,0
DF2,DF2,0.42,0.7,28,0
DF2,DF2,0.75,0.9,28,0
DF2,DF2,2.3,3.64,28,0
DF2,DF2,0.34,0.18,28,0
DF2,DF2,0.5,0.18,28,0
DF2,DF2,0.32,0.27,27,0
DF2,DF2,0.42,0.75,27,0
DF2,DF2,1.97,0.78,27,0
DF2,DF2,0.37,0.41,27,0
DF2,DF2,0.48,0.27,27,0
DF2,DF2,2.91,1.51,26,0
DF2,DF2,0.48,0.23,26,0
DF2,DF2,0.46,0.23,26,0
DF2,DF2,2.16,1.35,25,0
DF2,DF2,0.66,0.55,25,0
DF2,DF2,0.48,0.23,25,0
DF2,DF2,0.39,0.27,25,0
DF2,DF2,0.59,0.73,24,0
DF2,DF2,0.69,0.41,24,0
DF2,DF2,1.14,1.26,24,0
DF2,DF2,1.12,1.83,24,0
DF2,DF2,0.25,0.27,24,0
DF2,DF2,0.55,0.59,24,0
DF2,DF2,0.41,0.55,24,0
DF2,DF2,0.34,0.37,24,0
DF2,DF2,1.51,0.46,23,0
DF2,DF2,0.3,0.41,23,0
DF2,DF2,1.4,1.54,23,0
DF2,DF2,1.71,0.55,23,0
DF2,DF2,0.43,0.36,23,0
DF2,DF2,0.27,0.18,23,0
DF2,DF2,0.91,1.14,23,0
DF2,DF2,0.62,0.27,22,0
DF2,DF2,1.97,1.47,22,0
DF2,DF2,0.32,0.46,22,0
DF2,DF2,0.43,0.32,22,0
DF2,DF2,1.42,0.32,22,0
DF2,DF2,0.71,0.65,22,0
DF2,DF2,0.8,0.64,22,0
DF2,DF2,0.96,0.41,22,0
DF2,DF2,0.25,0.37,22,0
DF2,DF2,0.27,0.55,21,0
DF2,DF2,0.62,0.69,21,0
DF2,DF2,4.75,5.44,21,0
DF2,DF2,2.38,0.46,21,0
DF2,DF2,1.55,0.82,21,0
DF2,DF2,1.26,1.1,21,0
DF2,DF2,2.36,3.39,21,0
DF3,DF3,3.04,2.95,43,0.760171666
DF3,DF3,1.85,2.43,43,0.535241469
DF3,DF3,0.92,1.51,42,0.011634349
DF3,DF3,2.55,3.48,42,0.453927415
DF3,DF3,0.86,0.86,42,0.041297935
DF3,DF3,1.08,1.42,42,0.014730397
DF3,DF3,0.47,0.47,42,0
DF3,DF3,2.67,4.7,42,0.317929727
DF3,DF3,0.47,0.2,41,0
DF3,DF3,0.3,0.41,41,0
DF3,DF3,0.3,0.59,41,0
DF3,DF3,2.56,1.03,41,0.015904573
DF3,DF3,3.67,5.19,41,0.262528945
DF3,DF3,0.82,0.3,40,0
DF3,DF3,1.88,3.07,40,0.150073473
DF3,DF3,0.55,0.41,40,0
DF3,DF3,0.56,0.32,40,0
DF3,DF3,1.51,0.82,40,0
DF3,DF3,0.35,0.49,40,0
DF3,DF3,2.38,3.58,40,0.01127311
DF3,DF3,0.59,0.89,40,0
DF3,DF3,1.19,0.92,40,0
DF3,DF3,5.67,1.75,40,0.475358423
DF3,DF3,0.41,0.46,40,0
DF3,DF3,0.53,1.06,39,0
DF3,DF3,0.56,0.43,39,0
DF3,DF3,1.12,0.37,39,0
DF3,DF3,2.49,0.73,39,0
DF3,DF3,3.54,1.1,39,0.007902299
DF3,DF3,0.56,0.35,39,0
DF3,DF3,2.27,3.21,39,0
DF3,DF3,0.99,0.75,39,0
DF3,DF3,0.95,1.16,38,0
DF3,DF3,0.32,0.37,38,0
DF3,DF3,2.53,1.07,38,0.027058474
DF3,DF3,1.1,0.81,38,0
DF3,DF3,0.25,0.5,38,0
DF3,DF3,0.32,0.37,38,0
DF3,DF3,1.42,0.44,38,0
DF3,DF3,2.41,1.14,38,0.007039868
DF3,DF3,0.27,0.53,38,0
DF3,DF3,4.35,1.29,38,0.090960294
DF3,DF3,0.8,0.41,37,0
DF3,DF3,0.4,0.21,37,0
DF3,DF3,0.44,0.1,37,0
DF3,DF3,1.52,2.02,37,0
DF3,DF3,7.28,1.18,37,0.001867965
DF3,DF3,5.36,3.05,37,0.151589863
DF3,DF3,0.87,0.18,37,0
DF3,DF3,0.74,0.54,37,0
DF3,DF3,1.23,0.82,37,0
DF3,DF3,2.89,0.69,37,0
DF3,DF3,0.62,0.64,36,0
DF3,DF3,0.43,0.55,36,0
DF3,DF3,2.07,0.88,36,0
DF3,DF3,0.25,0.44,36,0
DF3,DF3,0.78,0.82,36,0
DF3,DF3,1.57,1.95,36,0.003497174
DF3,DF3,0.48,0.27,36,0
DF3,DF3,0.7,0.26,36,0
DF3,DF3,3.47,4.01,36,0.210937214
DF3,DF3,1.37,2.19,36,0
DF3,DF3,0.59,1,36,0
DF3,DF3,0.9,0.65,36,0
DF3,DF3,0.39,0.2,36,0
DF3,DF3,5.26,8.36,36,0.519552917
DF3,DF3,0.67,1.06,36,0
DF3,DF3,0.35,0.2,35,0
DF3,DF3,1.58,0.39,35,0
DF3,DF3,1,0.79,35,0
DF3,DF3,0.42,0.85,35,0
DF3,DF3,0.27,0.49,35,0
DF3,DF3,0.59,1.12,35,0
DF3,DF3,0.65,0.97,35,0
DF3,DF3,1.04,2.04,35,0
DF3,DF3,2.32,0.92,35,0
DF3,DF3,1.97,1.93,35,0.017219627
DF3,DF3,0.56,1.11,34,0
DF3,DF3,0.75,0.46,34,0
DF3,DF3,0.69,0.35,34,0
DF3,DF3,1.05,1.09,34,0
DF3,DF3,0.57,0.26,34,0
DF3,DF3,1.13,1.06,34,0
DF3,DF3,2.33,0.54,34,0
DF3,DF3,0.91,0.54,34,0
DF3,DF3,0.32,0.37,34,0
DF3,DF3,1.35,1.32,34,0
DF3,DF3,0.35,0.7,34,0
DF3,DF3,1.58,3.15,33,0
DF3,DF3,0.6,0.35,33,0
DF3,DF3,0.46,0.23,33,0
DF3,DF3,0.3,0.6,33,0
DF3,DF3,1.06,0.83,33,0
DF3,DF3,0.37,0.5,33,0
DF3,DF3,0.61,0.8,33,0
DF3,DF3,0.79,1.21,33,0
DF3,DF3,1.55,1.33,33,0
DF3,DF3,0.39,0.51,32,0
DF3,DF3,0.86,0.93,32,0
DF3,DF3,1.09,2.05,32,0
DF3,DF3,0.39,0.36,32,0
DF3,DF3,3.09,2.62,32,0.005747126
DF3,DF3,0.48,0.32,32,0
DF3,DF3,1.9,3.26,32,0
DF3,DF3,0.48,0.48,32,0
DF3,DF3,3.22,2.38,32,0
DF3,DF3,0.6,1.07,31,0
DF3,DF3,0.34,0.52,31,0
DF3,DF3,2.51,0.41,31,0
DF3,DF3,1.17,1.3,31,0
DF3,DF3,1.93,1.73,31,0
DF3,DF3,0.71,0.41,31,0
DF3,DF3,0.69,0.46,31,0
DF3,DF3,0.32,0.32,30,0
DF3,DF3,2.77,0.87,30,0
DF3,DF3,1.37,2.07,30,0
DF3,DF3,0.25,0.51,30,0
DF3,DF3,0.32,0.14,30,0
DF3,DF3,0.43,0.46,30,0
DF3,DF3,0.55,0.27,29,0
DF3,DF3,1.81,0.41,29,0
DF3,DF3,0.41,0.81,29,0
DF3,DF3,1.59,1.1,29,0
DF3,DF3,2.12,1,29,0
DF3,DF3,2.5,3.68,29,0
DF3,DF3,0.43,0.38,29,0
DF3,DF3,0.39,0.23,29,0
DF3,DF3,0.26,0.19,29,0
DF3,DF3,0.66,0.53,29,0
DF3,DF3,0.66,0.41,29,0
DF3,DF3,0.71,1.43,29,0
DF3,DF3,1.07,1.46,29,0
DF3,DF3,1.19,1.69,29,0
DF3,DF3,3.27,3.66,28,0
DF3,DF3,0.28,0.56,28,0
DF3,DF3,1.38,0.84,28,0
DF3,DF3,2.37,2.41,28,0
DF3,DF3,2.56,4.01,28,0.001590957
DF3,DF3,1.78,2.09,27,0
DF3,DF3,0.61,1.22,27,0
DF3,DF3,2.18,0.96,27,0
DF3,DF3,0.29,0.58,27,0
DF3,DF3,0.32,0.37,27,0
DF3,DF3,0.87,1.66,27,0
DF3,DF3,0.26,0.47,27,0
DF3,DF3,0.62,0.37,27,0
DF3,DF3,1.17,0.59,27,0
DF3,DF3,1.63,2.55,27,0
DF3,DF3,2.5,4.62,27,0
DF3,DF3,0.62,0.87,27,0
DF3,DF3,0.65,0.78,26,0
DF3,DF3,0.75,1.28,26,0
DF3,DF3,4.35,4.29,26,0.031224399
DF3,DF3,0.3,0.23,26,0
DF3,DF3,2.22,1.62,25,0
DF3,DF3,1.48,2.12,25,0
DF3,DF3,1.73,1.86,25,0
DF3,DF3,3.36,0.59,25,0
DF3,DF3,0.98,1.09,25,0
DF3,DF3,1.43,1.26,24,0
DF3,DF3,0.41,0.41,24,0
DF3,DF3,0.71,1.42,24,0
DF3,DF3,0.35,0.47,24,0
DF3,DF3,2.44,2.32,24,0
DF3,DF3,0.75,0.82,24,0
DF3,DF3,2.97,3.07,24,0
DF3,DF3,1.65,2.7,24,0
DF3,DF3,0.35,0.61,24,0
DF3,DF3,1.24,2.11,23,0
DF3,DF3,0.49,0.61,23,0
DF3,DF3,1.23,1.87,23,0
DF3,DF3,1.13,1.39,23,0
DF3,DF3,0.37,0.41,23,0
DF3,DF3,1.35,2.02,23,0
DF3,DF3,4.08,3.55,23,0
DF3,DF3,1.07,0.64,23,0
DF3,DF3,1.77,2.4,23,0
DF3,DF3,1.69,2.09,22,0
DF3,DF3,0.69,1.14,22,0
